iter	Passed	Remaining
0	138	138327
1	139	69389
2	139	46420
3	140	34923
4	140	28032
5	141	23435
6	142	20143
7	142	17684
8	143	15770
9	143	14235
10	144	12977
11	144	11930
12	145	11045
13	146	10288
14	146	9627
15	147	9048
16	147	8536
17	148	8085
18	148	7680
19	149	7316
20	149	6985
21	150	6685
22	150	6411
23	151	6163
24	152	5935
25	152	5722
26	153	5525
27	153	5342
28	154	5172
29	155	5012
30	155	4863
31	156	4724
32	156	4595
33	157	4472
34	157	4355
35	158	4246
36	159	4141
37	159	4043
38	160	3949
39	160	3861
40	161	3777
41	162	3698
42	162	3620
43	163	3546
44	163	3476
45	164	3409
46	164	3345
47	165	3283
48	166	3225
49	166	3168
50	167	3114
51	167	3061
52	168	3010
53	169	2961
54	169	2915
55	170	2870
56	170	2828
57	171	2786
58	172	2745
59	172	2705
60	173	2666
61	173	2629
62	174	2594
63	175	2560
64	175	2527
65	176	2495
66	176	2463
67	177	2429
68	177	2399
69	178	2370
70	179	2342
71	179	2314
72	180	2287
73	180	2261
74	181	2237
75	181	2212
76	182	2189
77	183	2165
78	183	2142
79	184	2120
80	184	2098
81	185	2077
82	186	2056
83	186	2036
84	187	2014
85	187	1996
86	188	1975
87	188	1956
88	189	1938
89	189	1920
90	190	1902
91	191	1885
92	191	1868
93	192	1852
94	192	1836
95	193	1820
96	193	1805
97	194	1789
98	195	1775
99	195	1760
100	196	1746
101	196	1729
102	197	1715
103	197	1702
104	198	1688
105	198	1675
106	199	1662
107	199	1650
108	200	1638
109	201	1626
110	201	1614
111	202	1603
112	202	1591
113	203	1580
114	203	1569
115	204	1557
116	204	1546
117	205	1535
118	205	1524
119	206	1513
120	206	1503
121	207	1492
122	207	1481
123	208	1471
124	208	1462
125	209	1453
126	210	1444
127	210	1433
128	211	1424
129	211	1416
130	212	1407
131	212	1399
132	213	1390
133	213	1382
134	214	1373
135	214	1365
136	215	1357
137	215	1349
138	216	1341
139	217	1333
140	217	1325
141	218	1318
142	218	1310
143	219	1303
144	219	1295
145	220	1288
146	220	1281
147	221	1274
148	222	1267
149	222	1260
150	223	1254
151	223	1247
152	224	1241
153	224	1235
154	225	1228
155	225	1222
156	226	1216
157	227	1210
158	227	1204
159	228	1198
160	228	1192
161	229	1186
162	230	1181
163	230	1175
164	231	1169
165	231	1164
166	232	1158
167	232	1153
168	233	1147
169	233	1141
170	234	1136
171	235	1131
172	235	1126
173	236	1121
174	236	1116
175	237	1111
176	237	1106
