iter	Passed	Remaining
0	0	770
1	1	729
2	2	704
3	2	728
4	3	758
5	4	748
6	5	726
7	5	721
8	6	707
9	7	693
10	7	685
11	8	675
12	8	662
13	9	653
14	9	647
15	10	642
16	11	638
17	11	632
18	12	625
19	12	619
20	13	615
21	13	610
22	14	605
23	14	601
24	15	596
25	15	596
26	16	596
27	17	594
28	17	591
29	18	588
30	18	585
31	19	584
32	19	582
33	20	579
34	20	577
35	21	575
36	22	573
37	22	573
38	23	571
39	23	569
40	24	569
41	24	568
42	25	567
43	26	565
44	26	563
45	27	562
46	27	560
47	28	558
48	28	559
49	29	561
50	30	559
51	30	558
52	31	557
53	31	555
54	32	554
55	32	552
56	33	551
57	33	550
58	34	549
59	35	549
60	35	548
61	36	547
62	36	545
63	37	545
64	37	544
65	38	542
66	38	542
67	39	541
68	40	540
69	40	539
70	41	540
71	41	539
72	42	538
73	42	537
74	43	536
75	44	535
76	44	534
77	45	533
78	45	532
79	46	531
80	46	530
81	47	530
82	47	527
83	48	526
84	48	525
85	49	524
86	49	523
87	50	522
88	50	521
89	51	520
90	52	519
91	52	519
92	53	519
93	53	519
94	54	518
95	55	517
96	55	516
97	56	516
98	56	515
99	57	514
100	57	513
101	58	512
102	58	511
103	59	510
104	59	510
105	60	509
106	61	509
107	61	508
108	62	507
109	62	506
110	63	505
111	63	505
112	64	504
113	64	503
114	65	502
115	65	502
116	66	501
117	66	500
118	67	500
119	68	499
120	68	499
121	69	498
122	69	497
123	70	497
124	70	496
125	71	495
126	71	493
127	72	493
128	73	493
129	73	492
130	74	491
131	74	490
132	75	489
133	75	488
134	76	487
135	76	487
136	77	486
137	77	485
138	78	485
139	78	484
140	79	484
141	79	482
142	80	481
143	80	481
144	81	480
145	82	479
146	82	479
147	83	478
148	83	477
149	84	477
150	84	477
151	85	476
152	85	475
153	86	475
154	87	474
155	87	473
156	88	473
157	88	472
158	89	471
159	89	471
160	90	469
161	90	468
162	91	468
163	91	468
164	92	467
165	93	467
166	93	466
167	94	466
168	94	465
169	95	465
170	95	464
171	96	463
172	96	463
173	97	462
174	98	462
175	98	461
176	99	461
177	99	460
178	100	459
179	100	459
180	101	458
181	101	457
182	102	456
183	102	455
184	103	455
185	104	455
186	104	454
187	105	454
188	105	453
189	106	452
190	106	452
191	107	451
192	107	450
193	108	449
194	109	451
195	110	451
196	110	451
197	111	450
198	111	450
199	112	449
200	112	448
201	113	447
202	113	447
203	114	446
204	114	445
205	115	445
206	116	444
207	116	444
208	117	443
209	117	442
210	118	442
211	118	441
212	119	440
213	119	440
214	120	439
215	120	438
216	121	438
217	122	438
218	122	437
219	123	436
220	123	436
221	124	436
222	125	436
223	125	435
224	126	435
225	127	434
226	127	434
227	128	434
228	128	434
229	129	433
230	130	433
231	130	432
232	131	432
233	131	431
234	132	430
235	132	430
236	133	429
237	133	428
238	134	428
239	135	427
240	135	427
241	136	426
242	136	426
243	137	425
244	137	424
245	138	424
246	138	423
247	139	423
248	140	422
249	140	422
250	141	421
251	141	420
252	142	420
253	142	419
254	143	418
255	143	418
256	144	417
257	144	416
258	145	416
259	146	415
260	146	415
261	147	414
262	147	414
263	148	413
264	148	412
265	149	412
266	149	411
267	150	410
268	150	410
269	151	409
270	152	409
271	152	408
272	153	408
273	153	407
274	154	407
275	154	406
276	155	405
277	156	405
278	156	404
279	157	403
280	157	403
281	158	402
282	158	401
283	159	401
284	159	400
285	160	400
286	160	399
287	161	399
288	161	398
289	162	397
290	163	397
291	163	396
292	164	395
293	164	395
294	165	394
295	165	394
296	166	394
297	167	393
298	167	392
299	168	392
300	168	391
301	169	390
302	169	390
303	170	389
304	170	389
305	171	388
306	171	388
307	172	387
308	173	386
309	173	386
310	174	385
311	174	385
312	175	384
313	175	383
314	176	383
315	176	382
316	177	381
317	177	381
318	178	381
319	179	380
320	179	379
321	180	379
322	180	378
323	181	378
324	181	377
325	182	376
326	182	376
327	183	375
328	183	375
329	184	374
330	185	374
331	185	373
332	186	373
333	187	373
334	187	372
335	188	371
336	188	371
337	189	370
338	189	369
339	190	369
340	190	368
341	191	368
342	191	367
343	192	366
344	193	366
345	193	365
346	194	365
347	194	364
348	195	363
349	195	363
350	196	362
351	196	362
352	197	361
353	198	361
354	198	360
355	199	360
356	199	359
357	200	358
358	200	358
359	201	357
360	201	357
361	202	356
362	202	355
363	203	355
364	204	355
365	204	354
366	205	353
367	205	353
368	206	352
369	206	351
370	207	351
371	207	351
372	208	350
373	209	350
374	209	349
375	210	348
376	210	348
377	211	347
378	211	346
379	212	346
380	212	345
381	213	344
382	213	344
383	214	343
384	214	343
385	215	342
386	215	341
387	216	341
388	216	340
389	217	340
390	217	339
391	218	338
392	219	338
393	219	337
394	220	337
395	220	336
396	221	336
397	221	335
398	222	335
399	223	334
400	223	333
401	224	333
402	224	332
403	225	332
404	225	331
405	226	330
406	226	330
407	227	329
408	227	329
409	228	328
410	228	328
411	229	327
412	230	326
413	230	326
414	231	325
415	231	325
416	232	324
417	232	323
418	233	323
419	233	323
420	234	322
421	234	321
422	235	321
423	236	320
424	236	320
425	237	319
426	237	318
427	238	318
428	238	317
429	239	317
430	239	316
431	240	316
432	241	315
433	241	315
434	242	314
435	243	314
436	243	313
437	244	313
438	244	312
439	245	311
440	245	311
441	246	310
442	246	310
443	247	309
444	247	309
445	248	308
446	248	308
447	249	307
448	250	307
449	251	306
450	251	306
451	252	305
452	252	305
453	253	304
454	253	303
455	254	303
456	254	302
457	255	302
458	255	301
459	256	300
460	256	300
461	257	299
462	258	299
463	258	299
464	259	298
465	260	298
466	260	297
467	261	296
468	261	296
469	262	295
470	262	295
471	263	294
472	263	294
473	264	293
474	265	293
475	265	292
476	266	292
477	266	291
478	267	291
479	268	290
480	268	290
481	269	289
482	269	288
483	270	288
484	271	287
485	271	287
486	272	286
487	273	286
488	273	285
489	274	285
490	274	284
491	275	284
492	276	283
493	276	283
494	277	282
495	277	282
496	278	281
497	278	281
498	279	280
499	280	280
500	280	279
501	281	279
502	281	278
503	282	277
504	282	277
505	283	277
506	284	276
507	285	276
508	285	275
509	286	274
510	286	274
511	287	273
512	287	273
513	288	272
514	288	272
515	289	271
516	290	271
517	290	270
518	291	269
519	291	269
520	292	268
521	292	268
522	293	267
523	294	267
524	294	266
525	295	265
526	295	265
527	296	264
528	296	264
529	297	263
530	298	263
531	298	262
532	299	262
533	299	261
534	300	260
535	300	260
536	301	259
537	301	259
538	303	259
539	303	258
540	304	258
541	304	257
542	305	257
543	306	256
544	306	256
545	307	255
546	308	255
547	309	255
548	309	254
549	310	254
550	311	253
551	312	253
552	313	253
553	314	253
554	315	252
555	316	252
556	317	252
557	317	251
558	318	251
559	319	250
560	320	250
561	320	250
562	321	249
563	322	249
564	323	248
565	324	248
566	325	248
567	325	247
568	326	247
569	327	246
570	328	246
571	328	246
572	329	245
573	330	245
574	331	244
575	331	244
576	332	243
577	333	243
578	334	243
579	335	242
580	335	242
581	336	241
582	337	241
583	338	240
584	338	240
585	339	239
586	340	239
587	340	238
588	341	238
589	342	237
590	343	237
591	343	236
592	344	236
